age,gender,place_type,hobby,climate,health_issues,selected_place
56,male,['Religious'],['Photography'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
79,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
26,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
68,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
53,other,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
19,female,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
77,other,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
13,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
64,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
54,female,['Nature'],['Photography'],Tropical,['Asthma'],Udawattakele Forest Reserve
67,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
18,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
44,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
64,male,['Nature'],['Hiking'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
75,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
15,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
32,other,['Nature'],['Photography'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
27,female,['Nature'],['Photography'],Tropical,[],Kandy Lake
39,male,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
31,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Gadaladeniya Temple
56,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
19,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
32,female,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Gadaladeniya Temple
32,female,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
66,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
48,other,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
56,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
6,other,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
6,female,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
23,female,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
36,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
21,other,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
15,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Temple of the Tooth
7,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
23,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
43,female,['Nature'],['Photography'],Tropical,[],Kandy Lake
54,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
64,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
41,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
52,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
28,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
29,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
39,male,['Nature'],['Photography'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
25,other,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
63,other,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
55,female,['Nature'],['Photography'],Tropical,[],Kandy Lake
32,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
8,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
50,male,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
50,male,['Beach'],['Relaxation'],Tropical,['Asthma'],Mirissa Beach
36,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
58,female,['Beach'],['Relaxation'],Tropical,['Asthma'],Mirissa Beach
51,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
13,other,['Nature'],['Hiking'],Tropical,['Asthma'],Udawattakele Forest Reserve
30,other,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
11,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
20,female,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
36,other,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
26,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
19,female,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
64,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
51,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
34,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
59,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
13,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
52,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
68,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
30,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
73,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
20,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
27,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
14,female,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
8,other,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
28,female,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
47,male,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
48,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
12,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
79,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
40,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
53,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
28,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
27,male,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
17,other,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
23,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
56,other,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Gadaladeniya Temple
16,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
27,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
43,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
21,male,['Nature'],['Hiking'],Tropical,['Asthma'],Udawattakele Forest Reserve
13,female,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
42,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
21,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
58,other,['Religious'],['Photography'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
71,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
29,male,['Nature'],['Photography'],Tropical,['Asthma'],Udawattakele Forest Reserve
36,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
40,other,['Beach'],['Relaxation'],Tropical,['Asthma'],Mirissa Beach
53,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
61,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
28,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
